oid,label,n_det,t_span
ZTF25acgctjf,SN Ia,19,44.91
ZTF25acgggyl,SN IIn,36,58.959
ZTF25acggpbd,SN IIn,27,230.277
ZTF25acgnldr,SN Ia,22,39.022
ZTF25acgorke,SN IIn,27,53.984
ZTF25acgqhry,SN Ia,20,39.895
ZTF25acgztnh,SN Ia,21,58.982
ZTF25achiqqs,SN Ia,62,71.863
ZTF25achlrsy,SN Ic,14,94.438
ZTF25acibvls,SLSN-I,87,146.836
ZTF25acjpdld,SN Ia,18,35.93
ZTF25ackyjjn,SN Ia,17,38.959
